square lattice, two orbitals
2
9
1 1 1 1 1 1 1 1 1
-1 -1 0  1 1   0.0 0.0
-1 -1 0  1 2   0.0 0.0
-1 -1 0  2 1   0.0 0.0
-1 -1 0  2 2   0.0 0.0
-1  0 0  1 1  -1.0 0.0
-1  0 0  1 2   0.0 0.0
-1  0 0  2 1   0.0 0.0
-1  0 0  2 2  -0.5 0.0
-1  1 0  1 1   0.0 0.0
-1  1 0  1 2   0.0 0.0
-1  1 0  2 1   0.0 0.0
-1  1 0  2 2   0.0 0.0
 0 -1 0  1 1  -1.0 0.0
 0 -1 0  1 2   0.0 0.0
 0 -1 0  2 1   0.0 0.0
 0 -1 0  2 2  -0.5 0.0
 0  0 0  1 1  -0.2 0.0
 0  0 0  1 2   0.0 0.0
 0  0 0  2 1   0.0 0.0
 0  0 0  2 2   0.2 0.0
 0  1 0  1 1  -1.0 0.0
 0  1 0  1 2   0.0 0.0
 0  1 0  2 1   0.0 0.0
 0  1 0  2 2  -0.5 0.0
 1 -1 0  1 1   0.0 0.0
 1 -1 0  1 2   0.0 0.0
 1 -1 0  2 1   0.0 0.0
 1 -1 0  2 2   0.0 0.0
 1  0 0  1 1  -1.0 0.0
 1  0 0  1 2   0.0 0.0
 1  0 0  2 1   0.0 0.0
 1  0 0  2 2  -0.5 0.0
 1  1 0  1 1   0.0 0.0
 1  1 0  1 2   0.0 0.0
 1  1 0  2 1   0.0 0.0
 1  1 0  2 2   0.0 0.0
